player,player_id,team,number,position
Precious Achiuwa,1000,TOR,5.0,F
Steven Adams,1001,MEM,4.0,C
Bam Adebayo,1002,MIA,13.0,C-F
Ochai Agbaji,1003,UTA,30.0,G
Santi Aldama,1004,MEM,7.0,F-C
Nickeil Alexander-Walker,1005,UTA,6.0,G
Grayson Allen,1006,MIL,12.0,G
Jarrett Allen,1007,CLE,31.0,C
Jose Alvarado,1008,NOP,15.0,G
Kyle Anderson,1009,MIN,5.0,F-G
Giannis Antetokounmpo,1010,MIL,34.0,F
Kostas Antetokounmpo,1011,CHI,37.0,F
Thanasis Antetokounmpo,1012,MIL,43.0,F
Cole Anthony,1013,ORL,50.0,G
OG Anunoby,1014,TOR,3.0,F
Ryan Arcidiacono,1015,NYK,51.0,G
Deni Avdija,1016,WAS,9.0,F
Deandre Ayton,1017,PHX,22.0,C
Udoka Azubuike,1018,UTA,20.0,C-F
Ibou Badji,1019,POR,41.0,C
Marvin Bagley III,1020,DET,35.0,F
Patrick Baldwin Jr.,1021,GSW,7.0,F
LaMelo Ball,1022,CHA,1.0,G
Lonzo Ball,1023,CHI,2.0,G
Mo Bamba,1024,ORL,11.0,C
Paolo Banchero,1025,ORL,5.0,F
Desmond Bane,1026,MEM,22.0,G
Dalano Banton,1027,TOR,45.0,F
Dominick Barlow,1028,SAS,26.0,F
Harrison Barnes,1029,SAC,40.0,F
Scottie Barnes,1030,TOR,4.0,F
RJ Barrett,1031,NYK,9.0,F-G
Will Barton,1032,WAS,5.0,G
Charles Bassey,1033,SAS,28.0,C-F
Keita Bates-Diop,1034,SAS,31.0,F
Nicolas Batum,1035,LAC,33.0,G-F
Darius Bazley,1036,OKC,55.0,F
Bradley Beal,1037,WAS,3.0,G
Malik Beasley,1038,UTA,5.0,G
MarJon Beauchamp,1039,MIL,0.0,F
Davis Bertans,1040,DAL,44.0,F
Patrick Beverley,1041,LAL,21.0,G
Saddiq Bey,1042,DET,41.0,F
Khem Birch,1043,TOR,24.0,C
Goga Bitadze,1044,IND,88.0,C-F
Bismack Biyombo,1045,PHX,18.0,C
Buddy Boeheim,1046,DET,27.0,F
Bogdan Bogdanović,1047,ATL,13.0,G
Bojan Bogdanović,1048,DET,44.0,F
Bol Bol,1049,ORL,10.0,C-F
Leandro Bolmaro,1050,UTA,10.0,F
Devin Booker,1051,PHX,1.0,G
Brandon Boston Jr.,1052,LAC,4.0,G
Chris Boucher,1053,TOR,25.0,F-C
James Bouknight,1054,CHA,2.0,G
Tony Bradley,1055,CHI,13.0,C-F
Malaki Branham,1056,SAS,22.0,F
Christian Braun,1057,DEN,0.0,G
Mikal Bridges,1058,PHX,25.0,F
Oshae Brissett,1059,IND,12.0,F-G
Malcolm Brogdon,1060,BOS,13.0,G
Dillon Brooks,1061,MEM,24.0,G-F
Bruce Brown,1062,DEN,11.0,G-F
Jaylen Brown,1063,BOS,7.0,G-F
Kendall Brown,1064,IND,10.0,G
Moses Brown,1065,LAC,6.0,C
